Release_Date,Title
2021-12-15,Spider-Man No Way Home
2022-03-01,The Batman
2022-02-25,No Exit
2021-11-24,Encanto
2021-12-22,The King's Man
2022-01-07,The Commando
2022-01-12,Scream
2022-02-10,Kimi
2022-02-17,Fistful of Vengeance
2021-11-03,Eternals
2022-02-18,Pursuit
2021-08-06,My Hero Academia World Heroes' Mission
2022-02-25,Restless
2021-12-02,Nightmare Alley
2022-01-28,The Ice Age Adventures of Buck Wild
2022-02-25,Hotel Transylvania Transformania
2022-02-18,Texas Chainsaw Massacre
2022-01-28,The Requin
2022-02-04,Looop Lapeta
2021-11-04,Red Notice
2021-12-01,Sing 2
2022-01-03,The Jack in the Box Awakening
2021-09-30,Venom Let There Be Carnage
2021-12-16,The Matrix Resurrections
2021-11-24,Resident Evil Welcome to Raccoon City
2021-10-19,Last Man Down
2022-01-07,American Siege
2022-02-10,Uncharted
2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie Mugen Train
2021-11-11,Ghostbusters Afterlife
2022-01-05,The 355
2021-09-01,Shang-Chi and the Legend of the Ten Rings
2022-02-09,Marry Me
2022-01-21,The Hunting
2021-12-08,West Side Story
2022-02-04,Through My Window
2021-07-02,The Seven Deadly Sins Cursed by Light
2021-11-05,One Shot
2022-01-24,Tom and Jerry Cowboy Up!
2020-10-15,Chernobyl Abyss
2022-02-25,Desperate Riders
2021-11-10,Clifford the Big Red Dog
2022-02-25,Tyler Perry's A Madea Homecoming
2021-07-01,The Boss Baby Family Business
2022-03-10,Turning Red
2022-01-13,Brazen
2022-01-14,The House
2022-02-10,Blacklight
2021-10-15,Ron's Gone Wrong
2021-08-11,Free Guy
2021-05-26,Cruella
2021-07-28,The Suicide Squad
2021-11-12,The Simpsons in Plusaversary
2022-01-17,Forgive Us Our Trespasses
2021-06-17,Luca
2021-04-07,Mortal Kombat
2021-03-18,Zack Snyder's Justice League
2021-12-17,Mother/Android
1986-11-04,Exploits of a Young Don Juan
2021-09-15,Dune
2021-01-01,The Last Warrior Root of Evil
2022-02-09,The Privilege
2021-06-11,Queen of Spades
2021-10-28,Antlers
2021-11-05,Dangerous
2021-09-01,After We Fell
2021-09-29,No Time to Die
2021-11-05,Sooryavanshi
2021-11-04,Finch
2021-07-23,Two
2021-08-09,PAW Patrol The Movie
2018-04-25,Avengers Infinity War
1989-06-23,Batman
2021-07-07,Black Widow
2022-02-18,The Wonderful Winter of Mickey Mouse
2021-05-19,F9
2022-02-03,Moonfall
2022-02-04,"Sex
2021-12-03,Diary of a Wimpy Kid
2022-02-15,AI Love You
2022-03-30,Sonic the Hedgehog 2
2022-02-17,Erax
2020-08-04,Deathstroke Knights & Dragons - The Movie
2021-10-13,The Last Duel
2022-01-26,The Pirates The Last Royal Treasure
2021-10-29,Paranormal Activity Next of Kin
2021-11-24,House of Gucci
2021-02-11,Dark Spell
2021-07-28,Jungle Cruise
2021-03-24,Godzilla vs Kong
2012-06-23,The Amazing Spider-Man
2022-02-17,Heart Shot
2009-12-10,Avatar
2021-06-11,Mobile Suit Gundam Hathaway
2021-10-27,Army of Thieves
2022-02-23,UFO
2022-03-03,The Weekend Away
2020-11-25,The Croods A New Age
2021-12-03,Back to the Outback
2021-07-02,The Tomorrow War
2022-01-28,Home Team
2021-03-17,The Fallout
2021-03-03,Raya and the Last Dragon
2021-09-09,Infinite
2021-04-22,Wrath of Man
2021-12-17,Fortress
2021-07-08,Space Jam A New Legacy
2022-01-13,Laura y el misterio del asesino inesperado
2021-05-25,The Conjuring The Devil Made Me Do It
2005-06-10,Batman Begins
2022-01-20,The Royal Treatment
2021-11-12,Ciao Alberto
2021-06-05,Gone Mom The Disappearance of Jennifer Dulos
2021-06-28,Ripper Untold
2021-05-26,Meander
2021-11-18,Zeros and Ones
2021-07-22,Snake Eyes GI Joe Origins
2021-10-08,Survive the Game
2021-05-28,Riverdance The Animated Adventure
2021-11-12,Apex
2022-02-02,The Tinder Swindler
2022-02-11,Love Tactics
2021-10-01,The Addams Family 2
2021-04-27,Dynasty Warriors
2021-05-15,Miraculous World Shanghai – The Legend of Ladydragon
2020-11-21,"Miraculous World New York
2022-03-03,Surviving Paradise A Family Tale
2019-12-20,My Hero Academia Heroes Rising
2021-11-04,Amina
2021-12-03,Encounter
2021-08-06,Son
2020-12-16,Wonder Woman 1984
